src.idx,src.ra_h,src.ra_m,src.ra_s,src.dec_d,src.dec_m,src.dec_s,pwp.path,pwp.ra_h,pwp.ra_m,pwp.ra_s,pwp.dec_d,pwp.dec_m,pwp.dec_s,pwp.x,pwp.y,pwp.mag1,pwp.mag_err1,pwp.mag2,pwp.mag_err2,pwp.mag3,pwp.mag_err3,pwp.mag4,pwp.mag_err4,pwp.mag5,pwp.mag_err5,pwp.mag6,pwp.mag_err6,pwp.mag7,pwp.mag_err7,pwp.chip_nro,pwp.stel_cls,pwp.elip,pwp.pos_ang,pwp.confidence
3,18,4,13.040900000000001,-40,54,58.902999999999999,/home/juan/proyectos/merlomatch/src/fits/v20100418_00899_st_cat.fits,18,4,13.0388,-40,54,58.936999999999998,1915.03,10.58,15.798999999999999,0.062,15.798999999999999,0.066000000000000003,15.82,0.082000000000000003,15.914,0.115,16.085999999999999,0.17699999999999999,16.452999999999999,0.318,16.713999999999999,0.50600000000000001,1,-1,0.14999999999999999,50.049999999999997,38.465699999999998
1,18,4,12.483599999999999,-40,54,55.600000000000001,/home/juan/proyectos/merlomatch/src/fits/v20100418_00899_st_cat.fits,18,4,12.485300000000001,-40,54,55.548999999999999,1893.9400000000001,10.550000000000001,15.959,0.070999999999999994,15.997999999999999,0.079000000000000001,15.993,0.095000000000000001,16.009,0.125,15.965,0.159,16.042999999999999,0.22800000000000001,16.324999999999999,0.377,1,-1,0.23000000000000001,113.65000000000001,43.6066
0,18,4,42.565800000000003,-40,57,58.216000000000001,/home/juan/proyectos/merlomatch/src/fits/v20100418_00899_st_cat.fits,18,4,42.526000000000003,-40,57,58.723999999999997,116.97,14.98,14.878,0.021999999999999999,14.93,0.025000000000000001,14.914999999999999,0.029999999999999999,14.904,0.039,14.888999999999999,0.050999999999999997,14.803000000000001,0.064000000000000001,14.686999999999999,0.079000000000000001,2,-1,0.13,-29.02,55.379199999999997
1,18,4,12.483599999999999,-40,54,55.600000000000001,/home/juan/proyectos/merlomatch/src/fits/v20100418_00897_st_cat.fits,18,4,12.483599999999999,-40,54,55.600000000000001,916.30999999999995,5.0700000000000003,15.929,0.070999999999999994,15.941000000000001,0.075999999999999998,16.001000000000001,0.096000000000000002,16.055,0.13,16.155999999999999,0.188,16.384,0.30099999999999999,16.321000000000002,0.377,1,-1,0.20000000000000001,116.73999999999999,41.087299999999999
2,18,4,20.072800000000001,-40,55,41.715000000000003,/home/juan/proyectos/merlomatch/src/fits/v20100418_00897_st_cat.fits,18,4,20.072800000000001,-40,55,41.715000000000003,1205.52,6.5999999999999996,16.675000000000001,0.13600000000000001,16.629999999999999,0.13900000000000001,16.629999999999999,0.16600000000000001,16.652999999999999,0.216,16.762,0.31,16.808,0.41999999999999998,16.577999999999999,0.45900000000000002,1,-1,0.040000000000000001,-22.239999999999998,47.906799999999997
3,18,4,13.040900000000001,-40,54,58.902999999999999,/home/juan/proyectos/merlomatch/src/fits/v20100418_00897_st_cat.fits,18,4,13.040900000000001,-40,54,58.902999999999999,937.45000000000005,5.4100000000000001,15.823,0.064000000000000001,15.786,0.066000000000000003,15.853,0.084000000000000005,15.938000000000001,0.11700000000000001,15.946,0.157,16.120999999999999,0.24299999999999999,16.253,0.35699999999999998,1,-1,0.029999999999999999,52.920000000000002,41.8645
0,18,4,42.565800000000003,-40,57,58.216000000000001,/home/juan/proyectos/merlomatch/src/fits/v20100418_00897_st_cat.fits,18,4,42.538499999999999,-40,57,58.689,2060.8200000000002,8.4900000000000002,15.132,0.035000000000000003,15.117000000000001,0.036999999999999998,15.141,0.044999999999999998,15.103,0.056000000000000001,15.044,0.071999999999999995,14.988,0.091999999999999998,14.803000000000001,0.106,1,-1,0.080000000000000002,-23.809999999999999,45.689599999999999
0,18,4,42.565800000000003,-40,57,58.216000000000001,/home/juan/proyectos/merlomatch/src/fits/v20100418_00895_st_cat.fits,18,4,42.565800000000003,-40,57,58.216000000000001,1086.3900000000001,3.0,17.222999999999999,0.217,17.372,0.26400000000000001,17.411999999999999,0.32500000000000001,17.291,0.373,16.824000000000002,0.33500000000000002,16.637,0.379,16.699000000000002,0.51500000000000001,1,-7,0.72999999999999998,-62.520000000000003,30.254100000000001
